thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ITI.started,ITI_fix.started,ITI_fix.stopped,ITI.stopped,mem_array.started,mem_fix.started,memCircle.started,test_circle.started,dot0.started,dot1.started,dot2.started,dot3.started,dot4.started,key_resp.started,mem_array.stopped,dot_pos,dot_colors,angles,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,delay.started,delay_fix.started,delay_fix.stopped,delay.stopped,report.started,report_fix.started,reportCircle.started,mouse.started,report.stopped,resp_angles,true_angles,colors,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,space,0.9549297490157187,None,[0.14166666666666666],[0.1736111111111111],[1],[0],[0],[2.2557641660096124],0,0,0,0,0.007522666943259537,,0.0030564169865101576,0.007522666943259537,1.0063081669504754,0.9927682499983348,0.9968678329605609,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,1.0063081669504754,2.0845841669943184,"[[0.13274574765349362, 0.18166883739352493], [-0.19670545650456941, -0.10923352681905385], [0.10901258759908306, -0.19682798516713076], [0.21365376692837962, -0.07054833716901943], [-0.06548785508128295, -0.2152587764455909]]","['red', 'green', 'blue', 'yellow', 'magenta']","[0.9397608933493253, 3.648507459268133, 5.2181809376676345, 5.964257975374993, 4.417057355328879]",space,0.9549297490157187,None,2.084659624961205,2.090355541964527,3.0824944999767467,3.07514337496832,3.0760778749827296,3.0824944999767467,3.0824944999767467,0.009477082989178598,5.351322457951028,"[None, None, None, None, None]","[0.9397608933493253, 3.648507459268133, 5.2181809376676345, 5.964257975374993, 4.417057355328879]","['red', 'green', 'blue', 'yellow', 'magenta']",[0.14166666666666666],[0.1736111111111111],[1],[0],[0],[2.2557641660096124],959239,2026-01-12_15h44.49.452,WMpsilocybin_v1,,2025.2.4,None,2026-01-12 15h44.49.481756 -0600,
1,0,1,space,11.534327416040469,None,[-0.22430555555555556],[-0.015277777777777777],[1],[0],[0],[1.6184353749849834],1,0,1,0,5.360405999992508,,5.351697541947942,5.360405999992508,6.35481854196405,6.344343374948949,6.3467149999924,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,6.35481854196405,17.893040791968815,"[[0.22490306856733402, -0.006603767787941618], [-0.22271444137277666, -0.03198871057126308], [0.1762632283182865, 0.13984374974526256], [-0.17553921249492707, -0.1407515004419521], [0.11839326196358037, -0.19133226471670436]]","['red', 'green', 'blue', 'yellow', 'magenta']","[6.253831012661993, 3.284248061512524, 0.6706914048234185, 3.8174446177318817, 5.266505560103722]",space,11.534327416040469,None,17.893211957998574,17.908616916975006,,18.90778066695202,18.908718166989274,18.912422624998726,18.912422624998726,0.015576375008095056,20.52783024997916,"[None, None, None, None, None]","[6.253831012661993, 3.284248061512524, 0.6706914048234185, 3.8174446177318817, 5.266505560103722]","['red', 'green', 'blue', 'yellow', 'magenta']",[-0.22430555555555556],[-0.015277777777777777],[1],[0],[0],[1.6184353749849834],959239,2026-01-12_15h44.49.452,WMpsilocybin_v1,,2025.2.4,None,2026-01-12 15h44.49.481756 -0600,
2,0,2,,,,,,,,,,2,0,2,0,20.539221666986123,,20.528207166993525,20.539221666986123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
